,date,close,metric
0,1999-06-01,26.6200008392334,^VIX
1,1999-06-02,26.209999084472656,^VIX
2,1999-06-03,26.200000762939453,^VIX
3,1999-06-04,23.43000030517578,^VIX
4,1999-06-07,23.780000686645508,^VIX
5,1999-06-08,24.020000457763672,^VIX
6,1999-06-09,23.899999618530273,^VIX
7,1999-06-10,25.31999969482422,^VIX
8,1999-06-11,25.899999618530273,^VIX
9,1999-06-14,26.510000228881836,^VIX
10,1999-06-15,25.90999984741211,^VIX
11,1999-06-16,22.399999618530273,^VIX
12,1999-06-17,21.950000762939453,^VIX
13,1999-06-18,21.75,^VIX
14,1999-06-21,21.809999465942383,^VIX
15,1999-06-22,21.700000762939453,^VIX
16,1999-06-23,21.31999969482422,^VIX
17,1999-06-24,23.059999465942383,^VIX
18,1999-06-25,21.760000228881836,^VIX
19,1999-06-28,22.6299991607666,^VIX
20,1999-06-29,22.510000228881836,^VIX
21,1999-06-30,21.09000015258789,^VIX
22,1999-07-01,19.690000534057617,^VIX
23,1999-07-02,18.65999984741211,^VIX
24,1999-07-06,20.729999542236328,^VIX
25,1999-07-07,20.350000381469727,^VIX
26,1999-07-08,20.239999771118164,^VIX
27,1999-07-09,17.959999084472656,^VIX
28,1999-07-12,19.729999542236328,^VIX
29,1999-07-13,19.950000762939453,^VIX
30,1999-07-14,19.709999084472656,^VIX
31,1999-07-15,18.68000030517578,^VIX
32,1999-07-16,17.420000076293945,^VIX
33,1999-07-19,19.06999969482422,^VIX
34,1999-07-20,21.790000915527344,^VIX
35,1999-07-21,21.459999084472656,^VIX
36,1999-07-22,23.049999237060547,^VIX
37,1999-07-23,23.31999969482422,^VIX
38,1999-07-26,24.979999542236328,^VIX
39,1999-07-27,23.229999542236328,^VIX
40,1999-07-28,22.850000381469727,^VIX
41,1999-07-29,24.520000457763672,^VIX
42,1999-07-30,24.639999389648438,^VIX
43,1999-08-02,25.59000015258789,^VIX
44,1999-08-03,26.270000457763672,^VIX
45,1999-08-04,27.399999618530273,^VIX
46,1999-08-05,27.010000228881836,^VIX
47,1999-08-06,26.600000381469727,^VIX
48,1999-08-09,27.65999984741211,^VIX
49,1999-08-10,28.450000762939453,^VIX
50,1999-08-11,25.389999389648438,^VIX
51,1999-08-12,25.030000686645508,^VIX
52,1999-08-13,22.309999465942383,^VIX
53,1999-08-16,23.06999969482422,^VIX
54,1999-08-17,21.670000076293945,^VIX
55,1999-08-18,23.299999237060547,^VIX
56,1999-08-19,24.389999389648438,^VIX
